t_ms,packet_id,speed_kmh,steer,gas,brake,gear,rpms,heading,pitch,roll,accg_x,accg_y,accg_z
77384.408,441,0.016782909631729126,0.0,0.0,1.0,1,5,-0.23860450088977814,0.07502690702676773,-0.054041724652051926,1.0103275599249173e-05,9.615327144274488e-05,0.0001304042525589466
77395.024,444,0.016743486747145653,0.0,0.0,1.0,1,5,-0.23860439658164978,0.07502636313438416,-0.05404134839773178,-0.000523559981957078,-1.6609490558039397e-05,0.00016416615108028054
77405.567,448,0.016695670783519745,0.0,0.0,1.0,1,5,-0.2386040836572647,0.07502604275941849,-0.05404098704457283,-0.00035387446405366063,-0.00010323390597477555,0.00011590500798774883
77416.087,452,0.016708895564079285,0.0,0.0,1.0,1,5,-0.23860396444797516,0.07502618432044983,-0.05404095724225044,0.0005791511503048241,0.0001118568834499456,-0.00015234953025355935
77426.694,455,0.016759343445301056,0.0,0.0,1.0,1,5,-0.23860396444797516,0.0750264972448349,-0.054041147232055664,0.00036341033410280943,-0.0001023100849124603,-0.00023141526617109776
77436.825,458,0.016832774505019188,0.0,0.0,1.0,1,5,-0.23860391974449158,0.07502693682909012,-0.05404101684689522,-0.0002408186992397532,-0.00026982181589119136,-0.0002276740997331217
77446.938,462,0.016937334090471268,0.0,0.0,1.0,1,5,-0.23860369622707367,0.07502741366624832,-0.054040100425481796,1.4861267118249089e-05,4.703882586909458e-05,-0.0002393122122157365
77457.642,465,0.01700848527252674,0.0,0.0,1.0,1,5,-0.23860345780849457,0.07502742111682892,-0.054039593786001205,0.00029384149820543826,-4.2289124394301325e-05,-0.0002269917749799788
77468.100,469,0.017033953219652176,0.0,0.0,1.0,1,5,-0.23860318958759308,0.07502700388431549,-0.05403962358832359,-0.0003883235913235694,0.000299170525977388,3.056598870898597e-05
77478.613,472,0.01702653430402279,0.0,0.0,1.0,1,5,-0.23860298097133636,0.07502652704715729,-0.054039571434259415,-0.0007036611204966903,0.00019401111057959497,0.00013926996325608343
77489.139,476,0.016956329345703125,0.0,0.0,1.0,1,5,-0.23860272765159607,0.075025774538517,-0.05403977259993553,4.882780194748193e-05,-0.00017518538516014814,0.00018762961553875357
77499.679,480,0.016865169629454613,0.0,0.0,1.0,1,5,-0.23860274255275726,0.07502510398626328,-0.05404084175825119,0.00021945864136796445,-0.0001868742983788252,0.00019433263514656574
77510.267,483,0.01680392399430275,0.0,0.0,1.0,1,5,-0.2386029213666916,0.07502469420433044,-0.05404173582792282,-0.00020147787290625274,6.773234053980559e-05,0.00020861890516243875
77520.738,486,0.01675385981798172,0.0,0.0,1.0,1,5,-0.23860308527946472,0.07502427697181702,-0.05404249206185341,-0.0004062956140842289,3.691838719532825e-05,0.00021302470122464
77531.240,490,0.01669798605144024,0.0,0.0,1.0,1,5,-0.2386031150817871,0.07502363622188568,-0.05404331535100937,0.00041469812276773155,0.00025893872953020036,5.053906352259219e-05
77541.807,494,0.01668957993388176,0.0,0.0,1.0,1,5,-0.2386029064655304,0.07502301782369614,-0.05404477193951607,1.303032877331134e-05,0.0003004989121109247,-7.82157076173462e-06
77552.329,497,0.01669512502849102,0.0,0.0,1.0,1,5,-0.23860272765159607,0.0750226229429245,-0.054045598953962326,-0.0003516295982990414,0.0004004075890406966,3.2914870189415524e-06
77562.778,500,0.01671697199344635,0.0,0.0,1.0,1,5,-0.2386026531457901,0.07502234727144241,-0.05404602736234665,0.00015618007455486804,0.00026271413662470877,-9.907803905662149e-05
77573.349,504,0.016770297661423683,0.0,0.0,1.0,1,5,-0.23860271275043488,0.0750221312046051,-0.054046787321567535,0.0004408638924360275,-0.00015173156862147152,-0.00017559889238327742
77583.891,507,0.016805918887257576,0.0,0.0,1.0,1,5,-0.23860274255275726,0.07502216845750809,-0.05404726415872574,5.2975981816416606e-05,-7.707857002969831e-05,-0.0001370433164993301
77594.472,511,0.016873478889465332,0.0,0.0,1.0,1,5,-0.23860260844230652,0.07502252608537674,-0.054047320038080215,-0.0002319166815141216,1.9423045159783214e-05,-0.00013171779573895037
77604.622,515,0.016939599066972733,0.0,0.0,1.0,1,5,-0.23860232532024384,0.07502306252717972,-0.05404719337821007,0.0002568586205597967,4.20321557612624e-05,-0.00020259003213141114
